10:1-10:73	target attribute
11:1-15:8	<table> element
11:1-15:8	cellpadding attribute
11:1-15:8	cellspacing attribute
11:1-15:8 (x2)	align attribute
11:1-15:8 (x2)	width attribute
12:1-14:5	valign attribute
13:1-13:45 (x2)	height attribute
16:1-16:90	<img> element
16:1-16:90	PNG image format
16:1-16:90	loading attribute
16:1-16:90	role attribute
17:1-17:53	<div> element
17:1-17:53	dir attribute
17:1-17:53	hidden attribute
17:1-17:53	lang attribute
18:1-18:49	<input type="checkbox"> element
18:1-18:49	required attribute
1:1-20:7	AMP for Email
3:1-3:47	color-scheme meta tag
6:1-19:7	<body> element
6:1-19:7	background attribute
7:1-7:34 (x2)	Local anchors
9:1-9:48	mailto: links
